code;name;baseidd;region;idd;time_start;time_end;opening_date;zone;s_stat;phone;phoneext;email;addr
86;м-н Красноярск Высотная;0000693;Сибирь;00005550003039005;10:00;21:00;2007-09-28 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1741;rozn93@gloria-jeans.ru;г. Красноярск, ул. Высотная д.2 ж
258;м-н Лазаревское ТЦ Павловский;0000888;Южный регион;00005550003051972;09:00;20:00;2009-05-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1343;rozn888@gloria-jeans.ru;г.Сочи, Лазаревский р-н, п.Лазаревское, ул.Калараш 111
261;м-н Каменск-Уральский ТЦ Мегамарт;0000889;Урал;00005550003051973;10:00;21:00;2009-04-29 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1311;rozn889@gloria-jeans.ru;г.Каменск-Уральский, ул.Суворова 24
128;м-н Челябинск ТЦ Горки;0000762;Урал;00005550003056525;10:00;22:00;2008-03-24 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1874;rozn762@gloria-jeans.ru;г.Челябинск, ул.Артиллерийская 136
147;м-н Бийск ТЦ Мария РА;0000768;Сибирь;00005550003059806;10:00;21:00;2008-03-15 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1040;rozn768@gloria-jeans.ru;г.Бийск, ул.Советская 205/2
162;м-н Красноярск ТЦ КрасноеЯрье;0000790;Сибирь;00005550003119981;10:00;20:00;2008-05-17 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1336;rozn790@gloria-jeans.ru;г.Красноярск, пр.Красноярский рабочий 120
262;м-н Стерлитамак ТЦ Фабри;0000917;Поволжье;00005550003126967;10:00;22:00;2009-10-08 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1276;rozn917@gloria-jeans.ru;Республика Башкортостан, г. Стерлитамак, ул. Худайбердина 120
161;м-н Новосибирск Карла Маркса;0000789;Сибирь;00005550003128861;10:00;21:00;2008-05-24 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1414;rozn789@gloria-jeans.ru;г.Новосибирск, пл.К. Маркса 3
76;м-н Красноярск АЛПИ Мате Залки;0000688;Сибирь;00005550003131476;10:00;21:00;2007-07-20 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1591;rozn88@gloria-jeans.ru;г.Красноярск, ул. Мате Залки 5
203;м-н Железногорск-Сиб ТЦ АЛПИ;0000831;Сибирь;00005550003134465;10:00;20:00;2008-09-21 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1083;rozn831@gloria-jeans.ru;г.Железногорск, пр.Ленинградский 1б
143;м-н Воскресенск ТРЦ на Ленинском проспекте;0000779;Центральный регион;00005550003142050;10:00;21:00;2008-04-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1065;rozn779@gloria-jeans.ru;г.Воскресенск, пл.Ленина 5
55;м-н Екатеринбург ТЦ Карнавал;0000666;Урал;00005550003142220;10:00;22:00;2006-12-16 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1075;rozn66@gloria-jeans.ru;г. Екатеринбург, ул.Халтурина д.55, ТЦ Карнавал
